,student_id,session,idle_time,mouse_wheel,mouse_wheel_click,left_click,right_click,mouse_movement,keystroke,time_delta,es_1_1_2points,es_1_2_3points,es_2_1_2points,es_2_2_3points,es_3_1_1point,es_3_2_2points,es_3_3_2points,es_3_4_2points,es_3_5_3points,es_4_1_15points,es_4_2_10points,es_5_1_2points,es_5_2_10points,es_5_3_3points,es_6_1_25points,es_6_2_15points,total
0,1,17,329361,22,0,115,16,7378,6,128.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,25.0,13.0,94.5
1,2,13,4087,0,0,5,0,106,0,4.0,2.0,3.0,2.0,0.5,1.0,2.0,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0
2,3,10,0,0,0,8,0,80,0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,1.0,5.0,3.0,18.0,15.0,85.0
3,4,31,5308,0,0,27,0,592,0,21.0,2.0,3.0,1.0,0.5,1.0,2.0,0.0,2.0,0.0,3.0,4.0,0.0,1.5,0.0,5.0,5.0,30.0
4,5,22,541956,0,0,35,0,5384,0,91.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.5,9.0,1.5,2.0,1.0,38.5
5,6,119,6559,0,0,79,0,3726,0,28.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,0.0,3.0,15.0,7.0,2.0,9.0,3.0,13.0,15.0,82.0
6,7,6,313,0,0,6,0,282,0,6.0,2.0,3.0,1.0,1.5,1.0,2.0,0.0,0.0,3.0,5.0,4.0,0.0,0.0,3.0,17.0,10.0,52.5
7,7,6,313,0,0,6,0,282,0,6.0,2.0,3.0,1.0,1.5,1.0,2.0,2.0,2.0,3.0,15.0,10.0,1.0,2.5,0.0,20.0,12.0,78.0
8,8,7,0,0,0,0,0,151,0,0.0,0.5,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
9,9,6,62,0,0,4,0,149,0,2.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5
10,10,11,1233920,0,0,112,0,4534,0,106.0,2.0,3.0,2.0,1.5,1.0,2.0,0.0,2.0,3.0,11.0,1.0,2.0,10.0,1.5,7.0,10.0,59.0
11,11,11,52150,21,0,18,0,3285,0,47.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,12.0,3.0,2.0,8.0,1.5,12.0,5.0,60.0
12,12,101,31714,0,0,89,0,2401,0,83.0,2.0,3.0,0.5,2.0,1.0,2.0,0.0,2.0,3.0,15.0,2.0,0.5,5.5,2.0,0.0,0.0,40.5
13,13,11,107260,0,0,22,0,695,0,20.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,14.5,10.0,2.0,2.0,3.0,25.0,15.0,90.0
14,14,12,0,0,0,0,0,93,0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,10.0,2.0,8.0,3.0,9.0,9.0,64.0
15,15,9,4427085,0,0,19,0,557,0,110.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,4.0,1.5,2.0,15.0,67.5
16,17,16,1197,0,0,3,0,193,0,17.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,24.0,15.0,97.0
17,18,9,0,0,0,0,0,89,0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,7.0,2.0,2.5,1.5,5.0,10.0,62.0
18,19,40,28506988,0,0,468,74,18321,33,718.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,3.0,1.5,2.0,1.5,5.0,4.0,50.0
19,20,31,567046,0,0,71,0,3820,4,156.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,1.5,15.0,10.0,0.0,0.0,3.0,5.0,10.0,58.5
20,20,31,567046,0,0,71,0,3820,4,156.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,25.0,14.5,97.5
21,21,5,32,0,0,4,0,88,0,2.0,,,,,,,,,,,,,,,,,
22,22,58,1867,0,0,69,0,1538,0,32.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.5,10.0,10.0,40.0
23,23,5,0,0,0,2,0,6,0,0.0,,,,,,,,,,,,,,,,,
24,24,12,712,0,0,11,2,729,0,16.0,2.0,3.0,1.0,1.5,1.0,2.0,2.0,2.0,3.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,32.5
25,24,12,712,0,0,11,2,729,0,16.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,15.0,4.0,2.0,10.0,3.0,15.0,5.0,70.5
26,27,14,62972,0,0,18,0,403,0,17.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,15.0,9.0,0.0,0.0,0.0,24.5,10.0,74.5
27,28,17,0,0,0,0,0,211,0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,15.0,8.5,2.0,4.0,3.0,19.0,13.0,79.5
28,29,44,10994,6,0,26,0,1789,0,24.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,25.0,15.0,97.0
29,30,9,32,0,0,4,0,153,0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
30,30,9,32,0,0,4,0,153,0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,12.0,8.0,1.0,5.0,1.5,4.0,5.0,55.5
31,31,7,2062,0,0,2,0,104,0,2.0,,,,,,,,,,,,,,,,,
32,32,19,124143,53,0,60,0,2127,0,45.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,12.0,5.0,75.5
33,33,24,251,0,0,17,0,517,0,7.0,2.0,3.0,2.0,1.5,1.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,7.5,1.5,0.0,0.0,30.5
34,34,21,0,0,0,0,0,182,0,0.0,2.0,3.0,2.0,0.5,1.0,2.0,1.5,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
35,35,34,3394674,0,0,8,0,467,2,104.0,,,,,,,,,,,,,,,,,
36,36,12,0,0,0,8,0,225,0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,13.0,9.0,2.0,10.0,3.0,16.0,13.0,79.0
37,37,3,3562,0,0,5,0,380,0,4.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0
38,37,3,3562,0,0,5,0,380,0,4.0,2.0,3.0,2.0,1.5,0.5,2.0,0.0,2.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0
39,38,33,17222,0,0,13,0,460,0,24.0,2.0,3.0,2.0,0.5,1.0,2.0,2.0,2.0,3.0,15.0,4.0,1.0,2.5,1.5,0.0,0.0,41.5
40,39,35,194568,3,0,106,20,4389,14,100.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,10.0,15.0,41.0
41,39,35,194568,3,0,106,20,4389,14,100.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,15.0,10.0,2.0,8.0,2.5,24.0,13.0,83.5
42,40,16,109,0,0,9,0,142,0,2.0,,,,,,,,,,,,,,,,,
43,42,2,78,0,0,3,0,64,0,1.0,2.0,3.0,1.0,0.5,1.0,2.0,0.0,2.0,3.0,4.0,2.0,0.5,0.0,1.5,0.0,0.0,22.5
44,43,13,765519,0,0,8,0,625,0,47.0,,,,,,,,,,,,,,,,,
45,44,26,47228,0,0,44,0,4238,0,32.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,7.0,0.0,5.0,3.0,4.0,10.0,50.0
46,44,26,47228,0,0,44,0,4238,0,32.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,24.0,13.5,97.5
47,45,8,0,0,0,0,0,0,0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,3.0,1.5,6.5,2.0,0.0,0.0,46.0
48,46,2,31,0,0,4,0,125,0,3.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
49,46,2,31,0,0,4,0,125,0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,22.0
50,47,61,3296833,0,0,73,0,5450,4,228.0,2.0,3.0,1.0,1.5,1.0,2.0,0.0,2.0,3.0,7.0,2.0,1.0,1.5,1.0,0.0,0.0,28.0
51,48,89,984,0,0,62,0,2358,0,21.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,7.0,0.0,2.5,2.0,10.0,15.0,71.5
52,49,32,2628617,0,0,32,2,2249,0,90.0,2.0,3.0,2.0,0.5,1.0,2.0,0.0,2.0,0.0,4.0,2.0,0.5,4.0,1.5,2.0,4.0,30.5
53,50,22,48928122,0,0,294,42,8798,24,785.0,,,,,,,,,,,,,,,,,
54,51,19,47,0,0,17,0,521,0,7.0,1.5,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
55,51,19,47,0,0,17,0,521,0,7.0,1.5,3.0,0.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
56,52,10,0,0,0,0,0,20,0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,8.0,10.0,36.0
57,53,9,18258,0,0,0,0,0,0,38.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,15.0,7.0,1.0,8.0,1.5,12.0,10.0,70.5
58,54,17,27666688,0,0,131,26,10309,4,465.0,2.0,3.0,1.0,1.5,1.0,2.0,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,0.0,0.0,39.0
59,55,22,179090,1,0,61,0,4058,0,81.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,4.0,7.0,0.0,0.0,0.0,7.0,0.0,36.5
60,56,1,0,0,0,0,0,0,0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,15.0,10.0,1.0,4.0,1.5,18.0,8.0,71.5
61,56,1,0,0,0,0,0,0,0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,15.0,9.0,84.0
62,57,36,16767,0,0,31,0,1370,0,20.0,0.5,2.0,1.0,0.5,1.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,23.0
63,58,24,11123,0,0,12,0,316,0,9.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,14.0,2.0,1.0,5.0,2.0,5.0,3.0,48.0
64,59,196,4598472,0,0,123,0,5453,0,166.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,7.0,2.0,8.0,3.0,0.0,0.0,40.0
65,59,196,4598472,0,0,123,0,5453,0,166.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.0,2.5,0.0,5.0,6.0,29.5
66,60,9,0,0,0,0,0,33,0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.5,0.0,0.0,16.5
67,61,6,0,0,0,5,0,0,0,0.0,1.5,1.5,2.0,2.0,1.0,2.0,0.0,2.0,3.0,15.0,4.0,0.5,3.0,1.0,19.0,0.0,57.5
68,62,9,85539,3,0,20,0,2448,0,51.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0
69,62,9,85539,3,0,20,0,2448,0,51.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,6.0,2.0,7.5,1.5,4.0,5.0,43.0
70,63,127,781819,0,0,72,0,3229,0,99.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,7.0,6.0,2.0,10.0,3.0,12.0,10.0,69.0
71,64,5,0,0,0,0,0,0,0,0.0,1.0,2.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,20.5
72,65,10,15,0,0,2,0,160,0,1.0,,,,,,,,,,,,,,,,,
73,66,108,3139,0,0,75,0,3711,12,47.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,18.0,10.0,86.0
74,67,13,394184,6,0,96,20,3078,0,67.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,14.5,10.0,2.0,8.0,3.0,15.0,10.0,80.5
75,67,13,394184,6,0,96,20,3078,0,67.0,2.0,3.0,0.5,0.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,7.0,3.0,24.5,15.0,92.0
76,68,38,5005125,0,0,29,0,1710,0,125.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.5,3.0,13.0,7.0,2.0,10.0,3.0,5.0,3.0,62.5
77,68,38,5005125,0,0,29,0,1710,0,125.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,19.0,14.0,91.0
78,69,4,0,0,0,4,0,0,0,0.0,1.5,3.0,1.5,0.5,1.0,2.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,23.5
79,70,57,41130,0,0,12,0,681,0,32.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,8.5,1.0,0.0,0.0,12.0,5.0,60.5
80,71,61,1020904,0,0,264,66,13939,30,231.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,0.5,5.0,1.5,25.0,14.5,90.5
81,72,32,3583796,20,0,255,42,14692,38,323.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,7.0,2.0,10.0,3.0,24.0,15.0,95.0
82,73,17,4442021,0,0,14,2,1297,4,163.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,1.5,3.0,5.0,28.5
83,73,17,4442021,0,0,14,2,1297,4,163.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,15.0,4.0,0.0,0.0,1.5,8.0,4.0,49.0
84,74,4,671,0,0,6,0,514,0,5.0,1.5,2.0,1.5,0.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0
85,75,4,0,0,0,0,0,54,0,0.0,2.0,2.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,7.5,1.5,24.0,10.0,87.5
86,76,17,0,0,0,5,0,106,0,0.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,2.0,15.0,10.0,2.0,10.0,3.0,24.0,12.0,93.5
87,77,32,36458,0,0,42,0,1252,0,40.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,15.0,4.0,1.5,6.0,1.5,16.0,6.0,66.5
88,78,3,0,0,0,2,0,36,0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,4.0,0.0,5.0,1.5,24.5,10.0,78.0
89,79,8,45622,0,0,25,0,642,0,27.0,2.0,3.0,1.0,1.5,0.5,2.0,2.0,2.0,3.0,13.0,4.0,1.0,9.0,1.5,25.0,14.0,84.5
90,80,15,47170760,1,0,17,0,489,0,326.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,7.0,4.0,0.0,7.5,1.5,5.0,10.0,51.5
91,81,35,32259,0,0,25,0,4897,0,18.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,15.0,7.0,2.0,4.0,3.0,25.0,15.0,87.0
92,82,7,1636,0,0,12,4,791,0,15.0,2.0,3.0,1.0,0.5,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.5
93,83,24,12410,0,0,26,0,695,0,25.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,4.0,1.5,10.0,0.0,35.5
94,83,24,12410,0,0,26,0,695,0,25.0,2.0,3.0,2.0,0.5,1.0,0.0,2.0,2.0,0.0,7.0,5.0,0.5,7.0,0.0,13.0,7.0,52.0
95,84,27,19276,13,0,28,0,2267,8,44.0,,,,,,,,,,,,,,,,,
96,85,17,1,0,0,4,0,149,0,1.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,13.0,10.0,2.0,0.0,1.5,25.0,12.0,82.0
97,86,27,174462,0,0,79,0,3453,8,81.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,1.0,5.0,3.0,25.0,15.0,94.0
98,87,12,48,0,0,6,0,615,0,4.0,2.0,3.0,1.5,1.5,1.0,2.0,2.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,8.0,13.0,46.0
99,87,12,48,0,0,6,0,615,0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,1.5,10.0,8.0,74.5
100,88,5,0,0,0,0,0,212,0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,25.0,15.0,96.0
101,89,47,305107665,274,0,1026,20,26756,500,2342.0,2.0,3.0,1.5,0.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.5
102,90,7,0,0,0,0,0,99,0,0.0,,,,,,,,,,,,,,,,,
103,91,16,281,0,0,6,0,294,0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,10.0,0.0,5.5,2.0,17.0,10.0,66.5
104,92,167,31106694,0,0,376,16,14673,42,999.0,1.5,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,19.5
105,92,167,31106694,0,0,376,16,14673,42,999.0,2.0,3.0,2.0,0.5,1.0,2.0,0.0,2.0,0.0,15.0,3.0,1.0,2.5,1.0,0.0,0.0,35.0
106,93,21,0,0,0,14,0,394,0,1.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,3.0,6.0,0.0,0.0,1.5,24.0,13.0,66.0
107,94,23,32,12,0,12,0,341,0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,8.5,2.0,9.0,2.0,25.0,13.0,92.5
108,95,54,26526,4,0,78,0,3700,0,55.0,2.0,3.0,1.0,0.5,1.0,2.0,0.0,2.0,3.0,15.0,8.0,0.0,0.0,0.0,10.0,5.0,52.5
109,96,37,141997,0,0,65,2,4888,0,80.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,15.0,7.0,2.0,10.0,3.0,12.0,10.0,77.5
110,97,5,1250,0,0,8,0,795,0,11.0,,,,,,,,,,,,,,,,,
111,98,2,37518,0,0,6,0,735,0,21.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,13.0,10.0,2.0,4.0,1.5,10.0,8.0,66.5
112,100,98,5245719,0,0,216,42,12633,25,310.0,2.0,3.0,1.0,1.5,1.0,2.0,2.0,2.0,3.0,13.0,7.0,2.0,8.0,1.5,24.0,10.0,83.0
113,101,12,3857452,0,0,8,0,1421,0,117.0,2.0,3.0,0.5,1.0,1.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.5
114,101,12,3857452,0,0,8,0,1421,0,117.0,2.0,2.0,1.0,2.0,1.0,2.0,1.5,2.0,2.0,5.0,1.0,0.0,0.0,1.5,4.0,5.0,32.0
115,102,16,19927409,6,0,354,0,20279,114,593.0,2.0,3.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,12.0,3.0,0.0,0.0,0.0,2.0,1.0,31.5
116,103,5,0,0,0,2,0,38,0,0.0,2.0,3.0,1.0,1.5,1.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5
117,104,30,1403925,0,0,218,12,9505,106,288.0,2.0,3.0,1.0,1.5,1.0,2.0,2.0,2.0,3.0,15.0,9.0,2.0,8.0,3.0,24.5,13.0,92.0
118,107,41,2315,0,0,59,0,2787,0,35.0,,,,,,,,,,,,,,,,,
119,108,11,757698,2,0,45,0,2065,0,102.0,,,,,,,,,,,,,,,,,
120,109,6,65977,0,0,10,0,741,0,20.0,,,,,,,,,,,,,,,,,
121,111,12,163640,0,0,31,4,1009,12,57.0,,,,,,,,,,,,,,,,,
122,113,2,4656186,0,0,2,0,89,0,101.0,,,,,,,,,,,,,,,,,
123,114,6,37489,0,0,14,0,603,0,31.0,,,,,,,,,,,,,,,,,
124,115,6,8188422,0,0,6,0,1129,0,151.0,,,,,,,,,,,,,,,,,
